Id,Prediction
10000BC,29589152.697656
21,14039624.055684
27dresses,15590274.548967
88minutes,10631397.880322
airibreathe,30873.650180
alexandra,6635.812798
americancarol,6767855.908619
anamorph,6635.812798
andwhendidyoulastseeyourfather,72088.455307
appaloosa,135911.319257
ashesoftimeredux,23296.109624
august,6635.812798
babylonad,20431390.900815
babymama,12510175.306861
babysitters,84586.380946
bandsvisit,30873.650180
bangkokdangerous2008,15548555.986354
bankjob,6611920.529780
battleinseattle,34587.527522
bedtimestories,19506339.373255
beerformyhorses,328160.703808
beforeiforget,6635.812798
bekindrewind,3297819.677345
benjaminbutton2008,30992965.980781
bolt,37624220.823412
bestofbothworlds,1904163.965767
betrayal,6635.812798
beverlyhillschihuahua,16564201.851975
biggerstrongerfaster,27114.400587
blindmountain,6635.812798
blindness2008,7600234.280166
boardinggate,6635.812798
bodyoflies,18883997.714738
bonneville,364194.436033
bottleshock,175594.680531
boyinthestripedpajamas,129006.816254
breakfastwithscot,23296.109624
bridesheadrevisited,123094.727559
burnafterreading,14371597.939026
businessofbeingborn,6635.812798
bustindownthedoor,23296.109624
cadillacrecords,2345384.496332
caramel,54119.124737
cassandrasdream,385918.478185
changeling2008,59870.536672
chaostheory,45539.637112
chapter27,6635.812798
charliebartlett,4816874.727790
childrenofhuangshi,92386.924086
chopshop,6635.812798
chrisanddon,11187.790559
christmasonmars,6635.812798
cityofember,10830008.443312
cityofmen,270954.478248
cj7,163498.591976
clonewars,18047789.339607
cloverfield,16312385.201676
college2008,5909924.274294
collegeroadtrip,13471861.802976
counterfeiters,66612.362936
cover,56308.082460
csny,91604.324672
cthulhu,6635.812798
darkknight,50901251.761853
darkstreets,70501.528591
daysandclouds,11187.790559
daytheearthstoodstill,18732651.030407
dayzero,11187.790559
deal2008,182613.780448
dearzachary,6635.812798
deathdefyingacts,11187.790559
deathrace,17248458.331243
deception,9420704.183903
Defiance,74089.906440
definitelymaybe,6460227.741772
delgo,10309050.870890
diaryofthedead2008,154570.012284
disastermovie,11300241.306082
doomsday,9774698.744044
doubt,141594.262712
drillbittaylor,17348392.691694
duchess2008,30873.650180
eagleeye,27095395.268780
eden,6635.812798
edgeofheaven,6635.812798
elegy,27114.400587
elitesquad,6635.812798
encountersattheendoftheworld,6635.812798
everybodywantstobeitalian,353361.598191
expellednointelligenceallowed,4475599.418965
express,15392855.749532
eye2008,11886812.139852
fall2006,38265.514084
familythatpreys,9804309.881738
filthandwisdom,6635.812798
findingamanda,52733.579431
fireproof,1212099.979415
firstsunday,10608569.381240
flashofgenius2008,4699391.898265
flashpoint,41914.492647
flawless2007,130086.011389
flightoftheredballoon,11187.790559
flowforloveofwater,6635.812798
flymetothemoon,2060045.722256
foolsgold,22797643.983938
forbiddenkingdom,20458826.060574
foreverstrong,239012.557740
forgettingsarahmarshall,14020937.526205
fourchristmases,25370176.071590
frostnixon,70666.593149
frozenriver,30873.650180
fullbattlerattle,6635.812798
funnygames2008,1019443.941117
gardensofthenight,6635.812798
getsmart,20995198.028983
ghosttown,6189928.810654
glassaportraitofphilipintwelveparts,6635.812798
gonzo,95109.111481
gooddick,12133.869268
grantorino,27114.400587
hamlet2,404458.101455
hammer,77553.836744
hancock,41307525.691007
happening,19990390.193202
happygolucky,19397.814040
Haroldandkumarescape,8899618.417190
harvardbeatsyale,15384.359383
hauntingofmollyhartley,13151674.670544
hellboy2,24795836.136947
hellride,295914.912014
henrypoole,2065425.771351
holdingtrevor,11187.790559
hortonhears,31833316.770157
hottieandthenottie,433252.964812
hounddog,45539.637112
housebunny,12655651.680590
howaboutyou,6635.812798
howshemove,6889987.716825
howtorobabank,6635.812798
hsm3,12979359.812946
hunger,6635.812798
igor,11540986.875234
inbruges,188669.610302
incrediblehulk,34510355.398838
indianajones4,49489826.077428
inthenameoftheking,7421196.897984
irinapalm,6635.812798
ironman,47562455.735480
ivelovedyousolong,41914.492647
jcvd,11187.790559
jihadforlove,6635.812798
journeytothecenteroftheearth,16590685.595478
jumper,26742989.480366
kabluey,6635.812798
kissthebride,23296.109624
kitkittredge,23296.109624
kungfupanda,22328609.469872
lakecity,6635.812798
lakeviewterrace,10470471.913864
lastchanceharvey2008,27114.400587
leatherheads,18130214.406424
loureedsberlin,11187.790559
loveguru,15315159.155662
lowerlearning,6635.812798
luckyones,1632920.348432
madeofhonor,15308423.102978
madmoney,12084197.862344
mammamia,15095801.083851
manonwire,11187.790559
marleyandme,18224824.391743
marriedlife,88045.128406
matador2008,6635.812798
maxpayne,18378452.328437
meetbill,133581.949259
meetdave,20176085.861018
meetthespartans,12978964.211668
milk2008,247821.019903
miracleatstanna,6634794.307755
mirrors,13222692.177806
missconception,15384.359383
misspettigrewlivesforaday,2099909.496921
misterfoe,11187.790559
misterlonely,6635.812798
mommasman,6635.812798
mongol,23296.109624
morninglight,200189.229317
movingmidway,11187.790559
mummy3,41821042.636629
mybestfriendsgirl,11122218.250316
myblueberrynights2008,27114.400587
neverbackdown,11923579.583217
nickandnorah,8040338.276591
nightsinrodanthe,13459975.197187
nimsisland,19647578.579433
nobelson2008,3716599.587564
nothingliketheholidays,7628229.989708
onemissedcall2007,10761795.786754
ontherumbariver,6635.812798
otherboleyngirl,6221627.749725
otherendoftheline,328160.703808
overherdeadbody,9287970.970196
paranoidpark,11187.790559
passengers2008,451554.625417
pathology,168581.340025
pattismith,6635.812798
penelope,5182159.458788
pineappleexpress,14732145.551484
pingpongplaya,38265.514084
pirateswhodon'tdoanything,5890472.678275
planetbboy,11187.790559
prayingwithlior,6635.812798
praythedevilbacktohell,6635.812798
prideandglory,12869887.435836
princecaspian,49595509.331479
promnight,11133391.719603
promotion,27114.400587
punisher2,13229361.051114
quantumofsolace,43300472.139510
quarantine,8710262.932908
rachelgettingmarried,88045.128406
rambo2007,16564328.016322
reader,120066.028501
redbelt,27114.400587
religulous,1073776.733170
repo,34587.527522
revolutionaryroad,15384.359383
righteouskill,21229062.059592
rocker,10782511.999879
rocknrolla,30873.650180
rogue,41914.492647
rolemodels,13984992.258387
romanpolanski,6635.812798
romulusmyfather,15384.359383
roscoejenkins,11407367.664634
ruins,13159737.898936
runfatboyrun,4870884.285208
savagegrace,11187.790559
saveme,6635.812798
sawv,10677089.453373
secretlifeofbees,5303640.929547
semipro,15983291.689031
sevenpounds2008,17517944.630525
sexanddeath101,23296.109624
sexdrive,10079152.300082
shinealight,1027338.323090
shotgunstories,6635.812798
shrooms,19397.814040
shutter,13751809.129733
signal,581125.702870
sisterhood2,12996845.536283
sleepwalking,112606.731534
slumdogmillionaire,98485.850678
smartpeople,4738498.334989
snowangels,11187.790559
sonoframbow,37742.110356
soulmen,9659416.778641
special,6635.812798
spacechimps,13543029.414540
speedracer,33471765.380736
spiderwickchronicles,32031708.893721
spirit2008,12311406.901598
splinter,19397.814040
standardoperatingprocedure,32438.813164
stepbrothers,15817239.298948
stepup2thestreets,9996492.661319
stoneangel,19397.814040
strangers,7922972.388775
strangewilderness,5241821.192971
streetkings,10484369.307698
stuck,11187.790559
sukiyaki,6635.812798
superheromovie,14998519.294615
surferdude,6635.812798
surfwise,6635.812798
swingvote,10608569.381240
synecdocheny,105697.235499
take2007,6635.812798
taleofdespereaux2008,15878698.046148
taxitothedarkside,11187.790559
teeth,19397.814040
thenshefoundme,38265.514084
thousandyearsofgoodprayers,11187.790559
tothelimit,11187.790559
towelhead,19397.814040
traceyfragments,15384.359383
trailerparkboys,747478.123030
traitor,8910749.753025
transsiberian,11187.790559
tropicthunder,26799071.704836
troublethewater,15384.359383
truloved,11187.790559
turntheriver,6635.812798
twilight2008,19058170.676368
untraceable,12427211.004933
valkyrie,19769211.159930
vantagepoint,16155874.923494
vickycristinabarcelona,2613857.816082
visitor2007,41056.935665
wackness,27114.400587
walle,45361301.407011
waltzwithbashir2008,37742.110356
wanted,23547142.662202
warinc,40495.327467
wendyandlucy,11187.790559
whathappensinvegas,16564201.851975
whatwedoissecret,6635.812798
whereisosamabinladen,367809.708139
wildwestcomedyshow,4043140.781638
withouttheking,6635.812798
witlessprotection,5870162.849113
women2008,11816354.119909
wrestler2008,46412.743300
w,9248437.038797
xfilesiwanttobelieve,17220281.777740
yesman,21647456.515021
youdontmesswiththezohan,18110974.016523
zackandmiri,12567065.005697
12rounds,9857409.525746
2012,17745156.981307
9,8005799.199801
adam,19397.814040
adoration,41914.492647
adventureland,8657026.954257
