Id,Prediction
10000BC,28965581.531654
21,14650001.680979
27dresses,13380105.971493
88minutes,10386494.521896
airibreathe,40412.670118
alexandra,4996.111387
americancarol,6229184.411540
anamorph,4996.111387
andwhendidyoulastseeyourfather,123821.130334
appaloosa,160224.203467
ashesoftimeredux,23317.381186
august,4996.111387
babylonad,23101571.427878
babymama,9832551.872749
babysitters,60519.327382
bandsvisit,40412.670118
bangkokdangerous2008,15640789.332999
bankjob,6036356.323789
battleinseattle,41668.950129
bedtimestories,18411912.341116
beerformyhorses,155683.967887
beforeiforget,4996.111387
bekindrewind,2444926.373219
benjaminbutton2008,26110536.985395
bolt,35463947.891663
bestofbothworlds,1498452.743081
betrayal,4996.111387
beverlyhillschihuahua,14578421.929896
biggerstrongerfaster,27763.315795
blindmountain,4996.111387
blindness2008,6888944.488423
boardinggate,4996.111387
bodyoflies,17963636.184684
bonneville,170135.164608
bottleshock,95705.807188
boyinthestripedpajamas,146127.108614
breakfastwithscot,23317.381186
bridesheadrevisited,75386.588628
burnafterreading,14885789.603861
businessofbeingborn,4996.111387
bustindownthedoor,23317.381186
cadillacrecords,1764951.944702
caramel,82275.153680
cassandrasdream,178906.728756
changeling2008,51024.323946
chaostheory,45618.780587
chapter27,4996.111387
charliebartlett,2763321.269510
childrenofhuangshi,157626.023127
chopshop,4996.111387
chrisanddon,9700.078654
christmasonmars,4996.111387
cityofember,9948069.592438
cityofmen,132982.361085
cj7,168243.592586
clonewars,16471961.370714
cloverfield,20076949.379010
college2008,6669891.892410
collegeroadtrip,10899781.925663
counterfeiters,116245.655069
cover,49668.099575
csny,63226.455070
cthulhu,4996.111387
darkknight,50369885.476276
darkstreets,55096.270586
daysandclouds,9700.078654
daytheearthstoodstill,17373305.583437
dayzero,9700.078654
deal2008,98430.248547
dearzachary,4996.111387
deathdefyingacts,9700.078654
deathrace,16016218.497163
deception,6665593.186763
Defiance,39683.857605
definitelymaybe,7337448.123333
delgo,7534110.617496
diaryofthedead2008,87558.093170
disastermovie,12651912.861688
doomsday,9001542.556003
doubt,161641.521918
drillbittaylor,18982045.020284
duchess2008,40412.670118
eagleeye,28317241.544171
eden,4996.111387
edgeofheaven,4996.111387
elegy,27763.315795
elitesquad,4996.111387
encountersattheendoftheworld,4996.111387
everybodywantstobeitalian,165777.934467
expellednointelligenceallowed,2517934.054291
express,16337812.429149
eye2008,9160959.346163
fall2006,42964.280631
familythatpreys,7036348.016292
filthandwisdom,4996.111387
findingamanda,48313.907309
fireproof,996960.406312
firstsunday,7834754.317125
flashofgenius2008,2678097.966046
flashpoint,44283.881153
flawless2007,78088.224510
flightoftheredballoon,9700.078654
flowforloveofwater,4996.111387
flymetothemoon,1329972.597572
foolsgold,22899868.550337
forbiddenkingdom,21621915.800974
foreverstrong,120425.489530
forgettingsarahmarshall,11525767.799505
fourchristmases,25751642.733867
frostnixon,54452.482849
frozenriver,40412.670118
fullbattlerattle,4996.111387
funnygames2008,455067.318263
gardensofthenight,4996.111387
getsmart,20470410.959095
ghosttown,5524644.373694
glassaportraitofphilipintwelveparts,4996.111387
gonzo,64579.021555
gooddick,7964.668824
grantorino,27763.315795
hamlet2,284893.392522
hammer,57809.235599
hancock,40631935.773346
happening,20296337.799893
happygolucky,18832.951989
Haroldandkumarescape,10258672.488798
harvardbeatsyale,14299.741594
hauntingofmollyhartley,10540303.297228
hellboy2,24632923.781360
hellride,142852.537717
henrypoole,989339.674384
holdingtrevor,9700.078654
hortonhears,34976846.916025
hottieandthenottie,198177.176401
hounddog,45618.780587
housebunny,13966050.166483
howaboutyou,4996.111387
howshemove,4390014.294209
howtorobabank,4996.111387
hsm3,17952538.306455
hunger,4996.111387
igor,11644226.469164
inbruges,172527.092007
incrediblehulk,32448718.607709
indianajones4,48328764.985104
inthenameoftheking,4842343.370265
irinapalm,4996.111387
ironman,45482942.991626
ivelovedyousolong,44283.881153
jcvd,9700.078654
jihadforlove,4996.111387
journeytothecenteroftheearth,17146286.278167
jumper,27466309.395850
kabluey,4996.111387
kissthebride,23317.381186
kitkittredge,23317.381186
kungfupanda,22379664.101631
lakecity,4996.111387
lakeviewterrace,11363566.728427
lastchanceharvey2008,27763.315795
leatherheads,17870251.188246
loureedsberlin,9700.078654
loveguru,13048139.273521
lowerlearning,4996.111387
luckyones,757569.298208
madeofhonor,15885589.818205
madmoney,9371878.593028
mammamia,12785534.633114
