Id,Prediction
10000BC,26736682.820024
21,19411507.155499
27dresses,25242859.049877
88minutes,10904123.146664
airibreathe,22422.056349
alexandra,21860.642195
americancarol,4127839.363656
anamorph,21860.642195
andwhendidyoulastseeyourfather,22516.918080
appaloosa,23093.965971
ashesoftimeredux,22233.446214
august,21860.642195
babylonad,26761623.330730
babymama,17539897.757715
babysitters,23884.749268
bandsvisit,22422.056349
bangkokdangerous2008,19446412.650130
bankjob,3814663.833627
battleinseattle,22516.918080
bedtimestories,25123192.428966
beerformyhorses,31826.235808
beforeiforget,21860.642195
bekindrewind,440798.530729
benjaminbutton2008,24507696.011525
bolt,25412226.011311
bestofbothworlds,292051.567383
betrayal,21860.642195
beverlyhillschihuahua,26407797.007025
biggerstrongerfaster,22327.566170
blindmountain,21860.642195
blindness2008,4603146.221889
boardinggate,21860.642195
bodyoflies,20475304.413193
bonneville,33161.698717
bottleshock,26631.841794
boyinthestripedpajamas,23387.614766
breakfastwithscot,22233.446214
bridesheadrevisited,25013.188843
burnafterreading,19463852.193829
businessofbeingborn,21860.642195
bustindownthedoor,22233.446214
cadillacrecords,296014.343752
caramel,22803.745928
cassandrasdream,33987.673424
changeling2008,23191.466114
chaostheory,22803.745928
chapter27,21860.642195
charliebartlett,1136777.813959
childrenofhuangshi,22422.056349
chopshop,21860.642195
chrisanddon,21953.294461
christmasonmars,21860.642195
cityofember,8638452.340796
cityofmen,29792.656578
cj7,23585.303702
clonewars,26640705.598773
cloverfield,26735083.203921
college2008,10177817.341668
collegeroadtrip,20407924.666918
counterfeiters,22516.918080
cover,23093.965971
csny,24086.337288
cthulhu,21860.642195
darkknight,14217664.093258
darkstreets,23486.266011
daysandclouds,21953.294461
daytheearthstoodstill,26127845.727220
dayzero,21953.294461
deal2008,26854.858291
dearzachary,21860.642195
deathdefyingacts,21953.294461
deathrace,17340656.676925
deception,8335432.086203
Defiance,21953.294461
definitelymaybe,11501194.095467
delgo,10773322.145190
diaryofthedead2008,25973.058856
disastermovie,19306583.141676
doomsday,7437045.611276
doubt,23191.466114
drillbittaylor,25233128.015476
duchess2008,22422.056349
eagleeye,26412183.849470
eden,21860.642195
edgeofheaven,21860.642195
elegy,22327.566170
elitesquad,21860.642195
encountersattheendoftheworld,21860.642195
everybodywantstobeitalian,32755.713122
expellednointelligenceallowed,930295.241076
express,22058281.850870
eye2008,15594037.406218
fall2006,22612.152694
familythatpreys,9353572.420556
filthandwisdom,21860.642195
findingamanda,22996.846796
fireproof,486694.529867
firstsunday,11652532.622673
flashofgenius2008,1062013.067264
flashpoint,22707.761530
flawless2007,25223.602721
flightoftheredballoon,21953.294461
flowforloveofwater,21860.642195
flymetothemoon,129599.999741
foolsgold,25837072.962803
forbiddenkingdom,26027902.173590
foreverstrong,28702.351699
forgettingsarahmarshall,21903422.252392
fourchristmases,26726769.205621
frostnixon,22046.311677
frozenriver,22422.056349
fullbattlerattle,21860.642195
funnygames2008,66193.893692
gardensofthenight,21860.642195
getsmart,22164071.108014
ghosttown,3052019.878581
glassaportraitofphilipintwelveparts,21860.642195
gonzo,24187.722782
gooddick,21860.642195
grantorino,22327.566170
hamlet2,33434.937120
hammer,23684.729218
hancock,21314807.695049
happening,24484521.938559
happygolucky,22139.695156
Haroldandkumarescape,16941199.293251
harvardbeatsyale,22046.311677
hauntingofmollyhartley,19481282.866037
hellboy2,26351773.314566
hellride,30667.064949
henrypoole,169967.060249
holdingtrevor,21953.294461
hortonhears,21491519.237087
hottieandthenottie,35842.976324
hounddog,22803.745928
housebunny,20542493.075879
howaboutyou,21860.642195
howshemove,3241893.396873
howtorobabank,21860.642195
hsm3,25658762.231909
hunger,21860.642195
igor,13843837.402913
inbruges,24494.262088
incrediblehulk,26436213.387316
indianajones4,16138252.933704
inthenameoftheking,4065512.651243
irinapalm,21860.642195
ironman,18935183.752060
ivelovedyousolong,22707.761530
jcvd,21953.294461
jihadforlove,21860.642195
journeytothecenteroftheearth,22104410.545605
jumper,26702763.487395
kabluey,21860.642195
kissthebride,22233.446214
kitkittredge,22233.446214
kungfupanda,18775784.591823
lakecity,21860.642195
lakeviewterrace,16103735.774506
lastchanceharvey2008,22327.566170
leatherheads,21445186.288335
loureedsberlin,21953.294461
loveguru,24777773.075478
lowerlearning,21860.642195
luckyones,117343.504893
madeofhonor,20792691.776814
madmoney,16213025.182340
mammamia,24367140.268139
manonwire,21953.294461
marleyandme,26544162.293933
marriedlife,22612.152694
matador2008,21860.642195
maxpayne,26771077.716777
meetbill,25329.424688
meetdave,24766819.023063
meetthespartans,18653288.622182
milk2008,25329.424688
miracleatstanna,1354364.752346
mirrors,19689740.079061
missconception,22046.311677
misspettigrewlivesforaday,174881.709673
misterfoe,21953.294461
misterlonely,21860.642195
mommasman,21860.642195
mongol,22233.446214
morninglight,27420.000569
movingmidway,21953.294461
mummy3,24245999.198314
mybestfriendsgirl,18635496.743018
myblueberrynights2008,22327.566170
neverbackdown,20792691.776814
nickandnorah,15321435.496791
nightsinrodanthe,20374164.180289
nimsisland,26397378.052464
nobelson2008,576678.925413
nothingliketheholidays,4421680.934374
onemissedcall2007,12111193.644055
ontherumbariver,21860.642195
otherboleyngirl,1285361.545674
otherendoftheline,31826.235808
overherdeadbody,7996681.872276
paranoidpark,21953.294461
passengers2008,36581.154719
pathology,26410.544421
pattismith,21860.642195
penelope,1395704.804654
pineappleexpress,25385442.633677
pingpongplaya,22612.152694
pirateswhodon'tdoanything,2024496.317558
planetbboy,21953.294461
prayingwithlior,21860.642195
praythedevilbacktohell,21860.642195
prideandglory,18296282.628824
princecaspian,21886208.819349
promnight,20306504.065954
promotion,22327.566170
punisher2,16904834.018906
quantumofsolace,26643673.973430
quarantine,16049095.038732
rachelgettingmarried,22612.152694
rambo2007,21154336.943817
reader,22516.918080
redbelt,22327.566170
religulous,155400.719735
repo,22516.918080
revolutionaryroad,22046.311677
righteouskill,26034827.617424
rocker,21683859.628832
rocknrolla,22422.056349
rogue,22707.761530
rolemodels,21809711.631239
romanpolanski,21860.642195
romulusmyfather,22046.311677
roscoejenkins,14705629.625044
ruins,22119752.541931
runfatboyrun,1172498.225396
savagegrace,21953.294461
saveme,21860.642195
sawv,25271883.892707
secretlifeofbees,3714297.865142
semipro,25805890.856687
sevenpounds2008,21268003.534018
sexanddeath101,22233.446214
sexdrive,15321435.496791
shinealight,66710.255772
shotgunstories,21860.642195
shrooms,22139.695156
shutter,21186884.267055
signal,42154.925442
