Id,Prediction
10000BC,17782926.662281
21,13128019.400625
27dresses,15590274.548967
88minutes,10354153.677022
airibreathe,30873.650180
alexandra,6635.812798
americancarol,7458279.128724
anamorph,6635.812798
andwhendidyoulastseeyourfather,34587.527522
appaloosa,56308.082460
ashesoftimeredux,23296.109624
august,6635.812798
babylonad,17657093.895590
babymama,12510175.306861
babysitters,84586.380946
bandsvisit,30873.650180
bangkokdangerous2008,13139845.957554
bankjob,7267934.616054
battleinseattle,34587.527522
bedtimestories,19506339.373255
beerformyhorses,328160.703808
beforeiforget,6635.812798
bekindrewind,3320592.178771
benjaminbutton2008,15168847.631046
bolt,19313892.384861
bestofbothworlds,2751503.922850
betrayal,6635.812798
beverlyhillschihuahua,16564201.851975
biggerstrongerfaster,27114.400587
blindmountain,6635.812798
blindness2008,7729471.758157
boardinggate,6635.812798
bodyoflies,13495641.411004
bonneville,364194.436033
bottleshock,175594.680531
boyinthestripedpajamas,66965.923068
breakfastwithscot,23296.109624
bridesheadrevisited,123094.727559
burnafterreading,13145760.044595
businessofbeingborn,6635.812798
bustindownthedoor,23296.109624
cadillacrecords,2769458.676500
caramel,45539.637112
cassandrasdream,385918.478185
changeling2008,59870.536672
chaostheory,45539.637112
chapter27,6635.812798
charliebartlett,4816874.727790
childrenofhuangshi,30873.650180
chopshop,6635.812798
chrisanddon,11187.790559
christmasonmars,6635.812798
cityofember,9537141.167859
cityofmen,270954.478248
cj7,74030.532253
clonewars,18047789.339607
cloverfield,17789223.261570
college2008,10100951.387064
collegeroadtrip,13471861.802976
counterfeiters,34587.527522
cover,56308.082460
csny,91604.324672
cthulhu,6635.812798
darkknight,24008356.104672
darkstreets,70501.528591
daysandclouds,11187.790559
daytheearthstoodstill,18732651.030407
dayzero,11187.790559
deal2008,182613.780448
dearzachary,6635.812798
deathdefyingacts,11187.790559
deathrace,12445797.980640
deception,9420704.183903
Defiance,11187.790559
definitelymaybe,10557589.800713
delgo,10309050.870890
diaryofthedead2008,154570.012284
disastermovie,13092552.674783
doomsday,9062057.889081
doubt,59870.536672
drillbittaylor,15584149.845773
duchess2008,30873.650180
eagleeye,18414911.053343
eden,6635.812798
edgeofheaven,6635.812798
elegy,27114.400587
elitesquad,6635.812798
encountersattheendoftheworld,6635.812798
everybodywantstobeitalian,353361.598191
expellednointelligenceallowed,4475599.418965
express,14080888.199132
eye2008,11886812.139852
fall2006,38265.514084
familythatpreys,9804309.881738
filthandwisdom,6635.812798
findingamanda,52733.579431
fireproof,3464199.399586
firstsunday,10608569.381240
flashofgenius2008,4699391.898265
flashpoint,41914.492647
flawless2007,130086.011389
flightoftheredballoon,11187.790559
flowforloveofwater,6635.812798
flymetothemoon,1746078.912708
foolsgold,16007922.742714
forbiddenkingdom,16168217.084679
foreverstrong,239012.557740
forgettingsarahmarshall,14020937.526205
fourchristmases,17155662.646432
frostnixon,15384.359383
frozenriver,30873.650180
fullbattlerattle,6635.812798
funnygames2008,1019443.941117
gardensofthenight,6635.812798
getsmart,20995198.028982
ghosttown,6754418.945924
glassaportraitofphilipintwelveparts,6635.812798
gonzo,95109.111481
gooddick,6635.812798
grantorino,27114.400587
hamlet2,371427.142210
hammer,77553.836744
hancock,21348151.404997
happening,15156668.142540
happygolucky,19397.814040
Haroldandkumarescape,12317243.899661
harvardbeatsyale,15384.359383
hauntingofmollyhartley,13151674.670544
hellboy2,16495999.467441
hellride,295914.912014
henrypoole,2065425.771351
holdingtrevor,11187.790559
hortonhears,21276150.061125
hottieandthenottie,433252.964812
hounddog,45539.637112
housebunny,13519429.542101
howaboutyou,6635.812798
howshemove,6889987.716825
howtorobabank,6635.812798
hsm3,19134644.930989
hunger,6635.812798
igor,11327278.943611
inbruges,105611.633286
incrediblehulk,18383200.836163
indianajones4,23298540.390034
inthenameoftheking,7421196.897983
irinapalm,6635.812798
ironman,22269115.854673
ivelovedyousolong,41914.492647
jcvd,11187.790559
jihadforlove,6635.812798
journeytothecenteroftheearth,14098883.600332
jumper,17896337.596682
kabluey,6635.812798
kissthebride,23296.109624
kitkittredge,23296.109624
kungfupanda,22328609.469872
lakecity,6635.812798
lakeviewterrace,12049317.965476
lastchanceharvey2008,27114.400587
leatherheads,13847377.136595
loureedsberlin,11187.790559
loveguru,15315159.155661
lowerlearning,6635.812798
luckyones,1632920.348432
madeofhonor,13608710.829424
madmoney,12084197.862344
mammamia,15095801.083851
manonwire,11187.790559
marleyandme,18224824.391743
marriedlife,38265.514084
matador2008,6635.812798
maxpayne,17569123.610414
meetbill,133581.949259
meetdave,15309057.039351
